Event,QualiSegment,SessionMedianLap,CircuitName,Country,TrackType,LapSpeedClass,SpeedI1,SpeedI2,SpeedFL,SpeedST,TrackLength_m,NumCorners,CornerDensity,AvgCornerSpacing_m,AirTemp,TrackTemp,WindSpeed,Altitude_m,DRSZones
Spanish Grand Prix,Q2,77.886,Barcelona-Catalunya,Spain,Permanent,Medium,287.0,301.0,286.0,320.0,4348.990357163425,16.0,0.003679014825509,234.62367931817408,24.1,36.9,1.9,110.0,1.0
Spanish Grand Prix,Q3,77.1755,Barcelona-Catalunya,Spain,Permanent,Medium,287.0,301.0,286.0,320.0,4348.990357163425,16.0,0.003679014825509,234.62367931817408,24.1,36.9,1.9,110.0,1.0
Styrian Grand Prix,Q1,82.7365,Red Bull Ring,Austria,Permanent,Fast,288.0,209.0,263.0,289.0,3999.68196710701,10.0,0.0025001987863632,391.8909347110944,15.1,19.9,1.6,700.0,2.0
Styrian Grand Prix,Q2,81.223,Red Bull Ring,Austria,Permanent,Fast,288.0,209.0,263.0,289.0,3999.68196710701,10.0,0.0025001987863632,391.8909347110944,15.1,19.9,1.6,700.0,2.0
Styrian Grand Prix,Q3,81.741,Red Bull Ring,Austria,Permanent,Fast,288.0,209.0,263.0,289.0,3999.68196710701,10.0,0.0025001987863632,391.8909347110944,15.1,19.9,1.6,700.0,2.0
São Paulo Grand Prix,Q1,80.622,Interlagos,Brazil,Permanent,Medium,302.0,237.0,306.5,297.0,4309.0,15.0,0.0034810860988628,287.26666666666665,19.2,27.0,0.7,800.0,2.0
São Paulo Grand Prix,Q2,79.51599999999999,Interlagos,Brazil,Permanent,Medium,302.0,237.0,306.5,297.0,4309.0,15.0,0.0034810860988628,287.26666666666665,19.2,27.0,0.7,800.0,2.0
São Paulo Grand Prix,Q3,78.503,Interlagos,Brazil,Permanent,Medium,302.0,237.0,306.5,297.0,4309.0,15.0,0.0034810860988628,287.26666666666665,19.2,27.0,0.7,800.0,2.0
Turkish Grand Prix,Q1,104.023,Istanbul Park,Turkey,Permanent,Fast,276.0,253.0,272.0,311.0,5338.0,14.0,0.0026227051330086,381.2857142857143,18.3,21.5,0.6,130.0,1.0
Turkish Grand Prix,Q2,113.8015,Istanbul Park,Turkey,Permanent,Fast,276.0,253.0,272.0,311.0,5338.0,14.0,0.0026227051330086,381.2857142857143,18.3,21.5,0.6,130.0,1.0
Turkish Grand Prix,Q3,112.0365,Istanbul Park,Turkey,Permanent,Fast,276.0,253.0,272.0,311.0,5338.0,14.0,0.0026227051330086,381.2857142857143,18.3,21.5,0.6,130.0,1.0
Tuscan Grand Prix,Q1,77.357,Mugello,Italy,Permanent,Fast,276.0,253.0,272.0,311.0,5245.0,15.0,0.0028598665395614,349.6666666666667,29.4,44.9,2.5,255.0,1.0
Tuscan Grand Prix,Q2,77.069,Mugello,Italy,Permanent,Fast,276.0,253.0,272.0,311.0,5245.0,15.0,0.0028598665395614,349.6666666666667,29.4,44.9,2.5,255.0,1.0
Tuscan Grand Prix,Q3,76.43299999999999,Mugello,Italy,Permanent,Fast,276.0,253.0,272.0,311.0,5245.0,15.0,0.0028598665395614,349.6666666666667,29.4,44.9,2.5,255.0,1.0
United States Grand Prix,Q1,96.59100000000001,COTA,USA,Permanent,Fast,232.0,190.0,210.0,321.0,5337.916050454483,20.0,0.0037467805433727,246.57822310725783,29.4,36.8,1.6,230.0,3.0
United States Grand Prix,Q2,95.773,COTA,USA,Permanent,Fast,232.0,190.0,210.0,321.0,5337.916050454483,20.0,0.0037467805433727,246.57822310725783,29.4,36.8,1.6,230.0,3.0
United States Grand Prix,Q3,94.877,COTA,USA,Permanent,Fast,232.0,190.0,210.0,321.0,5337.916050454483,20.0,0.0037467805433727,246.57822310725783,29.4,36.8,1.6,230.0,3.0
