year,race,driver,real_time_seconds
2025,United States Grand Prix,PIA,93.084
2025,United States Grand Prix,RUS,92.826
2025,United States Grand Prix,SAI,93.124
2025,United States Grand Prix,STR,93.878
2025,United States Grand Prix,TSU,93.466
2025,United States Grand Prix,VER,92.51
2025,Mexico City Grand Prix,ALB,77.49
2025,Mexico City Grand Prix,ALO,77.103
2025,Mexico City Grand Prix,ANT,76.118
2025,Mexico City Grand Prix,BEA,76.46
2025,Mexico City Grand Prix,BOR,77.412
2025,Mexico City Grand Prix,COL,77.67
2025,Mexico City Grand Prix,GAS,77.546
2025,Mexico City Grand Prix,HAD,76.252
2025,Mexico City Grand Prix,HAM,75.938
2025,Mexico City Grand Prix,HUL,77.016
2025,Mexico City Grand Prix,LAW,76.961
2025,Mexico City Grand Prix,LEC,75.848
2025,Mexico City Grand Prix,NOR,75.586
2025,Mexico City Grand Prix,OCO,76.837
2025,Mexico City Grand Prix,PIA,76.174
2025,Mexico City Grand Prix,RUS,76.034
2025,Mexico City Grand Prix,SAI,76.172
2025,Mexico City Grand Prix,STR,77.606
2025,Mexico City Grand Prix,TSU,76.816
2025,Mexico City Grand Prix,VER,76.07
2025,São Paulo Grand Prix,ALB,70.053
2025,São Paulo Grand Prix,ALO,70.001
2025,São Paulo Grand Prix,ANT,69.685
2025,São Paulo Grand Prix,BEA,69.755
2025,São Paulo Grand Prix,COL,70.632
2025,São Paulo Grand Prix,GAS,69.857
2025,São Paulo Grand Prix,HAD,69.931
2025,São Paulo Grand Prix,HAM,70.016
2025,São Paulo Grand Prix,HUL,69.985
2025,São Paulo Grand Prix,LAW,69.95
2025,São Paulo Grand Prix,LEC,69.801
2025,São Paulo Grand Prix,NOR,69.511
2025,São Paulo Grand Prix,OCO,70.438
2025,São Paulo Grand Prix,PIA,69.835
2025,São Paulo Grand Prix,RUS,69.88
2025,São Paulo Grand Prix,SAI,70.184
2025,São Paulo Grand Prix,STR,70.041
2025,São Paulo Grand Prix,TSU,70.711
2025,São Paulo Grand Prix,VER,70.403
