meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1255,9994,5,5,2025-03-22T07:08:07.047000+00:00,24.516,27.517,40.108,285.0,278.0,False,92.141,"[2049, 2049, 2049, 2049, 2048, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2048, 2049, 2049, 2048, 2048]",330.0
1255,9994,1,3,2025-03-22T07:08:14.435000+00:00,28.079,35.365,50.76,253.0,247.0,False,114.204,"[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2064]",241.0
1255,9994,22,4,2025-03-22T07:08:15.188000+00:00,24.312,27.429,39.957,284.0,278.0,False,91.698,"[2049, 2049, 2048, 2049, 2049, 2049, 2049]","[2049, 2051, 2049, 2049, 2051, 2049]","[2049, 2049, 2049, 2049, 2048, 2051, 2049, 2048, 2049]",330.0
1255,9994,7,4,2025-03-22T07:08:22.278000+00:00,24.553,27.652,40.306,283.0,276.0,False,92.511,"[2049, 2049, 2049, 2048, 2048, 2048, 2049]","[2048, 2048, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2048, 2049, 2049, 2049, 2048, 2048]",329.0
1255,9994,55,5,2025-03-22T07:08:28.866000+00:00,24.479,27.641,40.121,284.0,278.0,False,92.241,"[2049, 2049, 2049, 2048, 2049, 2049, 2049]","[2049, 2049, 2049, 2048, 2049, 2051]","[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2048]",332.0
1255,9994,23,4,2025-03-22T07:08:38.567000+00:00,24.529,27.582,39.859,283.0,278.0,False,91.97,"[2049, 2049, 2049, 2049, 2048, 2048, 2049]","[2049, 2049, 2049, 2049, 2048, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",329.0
1255,9994,30,4,2025-03-22T07:08:52.314000+00:00,24.557,27.649,40.286,284.0,277.0,False,92.492,"[2049, 2049, 2049, 2049, 2048, 2048, 2049]","[2049, 2049, 2051, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2048, 2048, 2049, 2049]",331.0
1255,9994,44,4,2025-03-22T07:08:54.701000+00:00,,36.825,50.787,240.0,251.0,True,211.714,"[2064, 2064, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",285.0
1255,9994,16,4,2025-03-22T07:09:02.363000+00:00,,36.632,50.947,264.0,253.0,True,230.449,"[2064, 2064, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049]",307.0
1255,9994,18,6,2025-03-22T07:09:05.522000+00:00,31.029,36.323,54.416,252.0,208.0,False,121.768,"[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2064]",288.0
1255,9994,10,5,2025-03-22T07:09:08.132000+00:00,24.328,27.857,40.029,282.0,274.0,False,92.214,"[2049, 2049, 2049, 2048, 2049, 2048, 2049]","[2049, 2049, 2048, 2049, 2048, 2048]","[2049, 2049, 2049, 2048, 2048, 2049, 2049, 2048, 2048]",328.0
1255,9994,63,4,2025-03-22T07:09:11.788000+00:00,68.584,31.215,54.504,265.0,261.0,True,154.303,"[2064, 2064, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049]",314.0
1255,9994,27,5,2025-03-22T07:09:16.538000+00:00,24.36,27.663,40.012,286.0,279.0,False,92.035,"[2049, 2049, 2051, 2048, 2049, 2049, 2049]","[2049, 2048, 2048, 2049, 2049, 2051]","[2049, 2049, 2049, 2049, 2048, 2049, 2049, 2048, 2049]",330.0
1255,9994,6,5,2025-03-22T07:09:21.163000+00:00,29.77,33.489,52.528,235.0,243.0,False,115.787,"[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2064]",285.0
1255,9994,81,4,2025-03-22T07:09:23.804000+00:00,,31.668,51.759,265.0,257.0,True,223.513,"[2064, 2064, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",313.0
1255,9994,4,4,2025-03-22T07:09:33.101000+00:00,,33.165,49.964,257.0,252.0,True,261.493,"[2064, 2064, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2051]",258.0
1255,9994,14,6,2025-03-22T07:09:33.726000+00:00,26.597,31.624,52.706,228.0,220.0,False,110.927,"[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2064]",222.0
1255,9994,12,4,2025-03-22T07:09:35.846000+00:00,99.178,34.827,48.936,260.0,209.0,True,182.941,"[2064, 2064, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049]",297.0
1255,9994,5,6,2025-03-22T07:09:39.182000+00:00,28.167,32.433,56.104,232.0,249.0,False,116.704,"[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2064]",158.0
