meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed,sector_sum,avg_speed_est
1257,10010,10,2,2025-04-12T16:05:31.131000+00:00,29.577,39.573,23.062,240.0,270.0,0,92.212,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2048]",314.0,92.212,274.6666666666667
1257,10010,7,2,2025-04-12T16:05:39.028000+00:00,29.447,39.557,22.915,242.0,272.0,0,91.919,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049]","[2051, 2049, 2049, 2049, 2049, 2048, 2048]",315.0,91.91900000000001,276.3333333333333
1257,10010,87,2,2025-04-12T16:05:46.972000+00:00,29.68,39.796,23.147,241.0,272.0,0,92.623,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",311.0,92.62299999999999,274.6666666666667
1257,10010,30,2,2025-04-12T16:06:04.488000+00:00,29.476,39.808,23.104,241.0,274.0,0,92.388,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2049]",317.0,92.38799999999999,277.3333333333333
1257,10010,6,2,2025-04-12T16:06:15.329000+00:00,29.807,39.957,22.944,239.0,275.0,0,92.708,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]","[2049, 2049, 2051, 2051, 2049, 2048]",316.0,92.708,276.6666666666667
1257,10010,55,2,2025-04-12T16:06:22.752000+00:00,29.396,39.703,23.045,241.0,270.0,0,92.144,"[2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2049, 2049, 2049, 2048, 2049]",312.0,92.144,274.3333333333333
1257,10010,23,2,2025-04-12T16:06:30.830000+00:00,29.437,39.757,23.27,236.0,268.0,0,92.464,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2048, 2048]",315.0,92.464,273.0
1257,10010,22,3,2025-04-12T16:06:49.597000+00:00,38.851,47.528,33.022,187.0,200.0,0,119.401,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",200.0,119.40099999999998,195.66666666666666
1257,10010,44,2,2025-04-12T16:06:53.230000+00:00,29.288,39.628,23.046,242.0,270.0,0,91.962,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2049, 2051, 2051, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2048, 2048]",316.0,91.96199999999999,276.0
1257,10010,10,3,2025-04-12T16:07:03.254000+00:00,34.94,53.256,30.864,204.0,186.0,0,119.06,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",281.0,119.06,223.66666666666666
1257,10010,7,3,2025-04-12T16:07:10.893000+00:00,34.363,48.706,33.773,216.0,228.0,0,116.842,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",237.0,116.84200000000001,227.0
